Depth_thin	Ii_diffuse
2.15E-04	43.68
2.06E-04	47.34
2.05E-04	50.46
2.04E-04	53.67
2.03E-04	56.85
2.02E-04	60.01
2.01E-04	63.11
2.00E-04	66.22
1.99E-04	69.59
1.98E-04	72.78
1.97E-04	75.50
1.96E-04	77.78
1.95E-04	79.53
1.94E-04	80.92
1.93E-04	81.96
1.92E-04	83.00
1.91E-04	84.21
1.90E-04	85.03
1.89E-04	85.48
1.88E-04	85.65
1.87E-04	85.75
1.86E-04	85.73
1.85E-04	85.70
1.84E-04	85.66
1.83E-04	85.63
1.82E-04	85.41
1.81E-04	85.18
1.80E-04	84.87
1.79E-04	84.42
1.78E-04	84.08
1.77E-04	83.79
1.76E-04	83.39
1.75E-04	83.19
1.74E-04	83.15
1.73E-04	83.09
1.72E-04	82.89
1.71E-04	82.52
1.70E-04	82.05
1.69E-04	81.47
1.68E-04	80.83
1.67E-04	80.21
1.66E-04	79.55
1.65E-04	78.83
1.64E-04	78.18
1.63E-04	77.53
1.62E-04	76.86
1.61E-04	76.17
1.60E-04	75.47
1.59E-04	74.79
1.58E-04	74.11
1.57E-04	73.43
1.56E-04	72.85
1.55E-04	72.18
1.54E-04	71.40
1.53E-04	70.64
1.52E-04	69.76
1.51E-04	68.97
1.50E-04	68.16
1.49E-04	67.40
1.48E-04	66.66
1.47E-04	65.89
1.46E-04	65.09
1.45E-04	64.21
1.44E-04	63.30
1.43E-04	62.27
1.42E-04	61.35
1.41E-04	60.52
1.40E-04	59.58
1.39E-04	58.68
1.38E-04	57.67
1.37E-04	56.68
1.36E-04	55.76
1.35E-04	54.99
1.34E-04	54.24
1.33E-04	53.55
1.32E-04	53.02
1.31E-04	52.50
1.30E-04	51.91
1.29E-04	51.34
1.28E-04	50.87
1.27E-04	50.45
1.26E-04	50.14
1.25E-04	49.82
1.24E-04	49.60
1.23E-04	49.43
1.22E-04	49.32
1.21E-04	49.08
1.20E-04	48.81
1.19E-04	48.52
1.18E-04	48.29
1.17E-04	47.96
1.16E-04	47.79
1.15E-04	47.53
1.14E-04	47.33
1.13E-04	47.05
1.12E-04	46.80
1.11E-04	46.33
1.09E-04	45.74
1.08E-04	45.14
1.07E-04	44.57
1.06E-04	43.96
1.05E-04	43.30
1.04E-04	42.57
1.03E-04	41.93
1.02E-04	41.22
1.01E-04	40.57
1.00E-04	40.00
9.95E-05	39.32
9.84E-05	38.66
9.74E-05	37.89
9.64E-05	37.12
9.54E-05	36.33
9.44E-05	35.63
9.34E-05	35.03
9.24E-05	34.49
9.14E-05	33.98
9.04E-05	33.40
8.94E-05	32.82
8.84E-05	32.22
8.74E-05	31.82
8.64E-05	31.42
8.54E-05	31.09
8.44E-05	30.71
8.34E-05	30.26
8.24E-05	29.77
8.14E-05	29.25
8.04E-05	28.71
7.94E-05	28.11
7.84E-05	27.41
7.74E-05	26.74
7.63E-05	25.95
7.53E-05	25.21
7.43E-05	24.42
7.33E-05	23.77
7.23E-05	23.11
7.13E-05	22.45
7.03E-05	21.79
6.93E-05	21.14
6.83E-05	20.56
6.73E-05	19.94
6.63E-05	19.25
6.53E-05	18.57
6.43E-05	17.93
6.33E-05	17.32
6.23E-05	16.63
6.13E-05	15.98
6.03E-05	15.35
5.93E-05	14.86
5.83E-05	14.37
5.73E-05	14.00
5.63E-05	13.70
5.53E-05	13.45
5.42E-05	13.07
5.32E-05	12.74
5.22E-05	12.34
5.12E-05	12.01
5.02E-05	11.67
4.92E-05	11.28
4.82E-05	10.90
4.72E-05	10.50
4.62E-05	10.05
4.52E-05	9.61
4.42E-05	9.23
4.32E-05	8.98
4.22E-05	8.70
4.12E-05	8.41
4.02E-05	8.19
3.92E-05	8.04
3.82E-05	7.86
3.72E-05	7.71
3.62E-05	7.44
3.52E-05	7.20
3.42E-05	6.95
3.32E-05	6.70
3.21E-05	6.43
3.11E-05	6.09
3.01E-05	5.83
2.91E-05	5.69
2.81E-05	5.62
2.71E-05	5.53
2.61E-05	5.45
2.51E-05	5.41
2.41E-05	5.28
2.31E-05	5.22
2.21E-05	5.26
2.11E-05	5.28
2.01E-05	5.14
1.91E-05	4.85
1.81E-05	4.44
1.71E-05	4.14
1.61E-05	3.79
1.51E-05	3.56
1.41E-05	3.26
1.31E-05	3.17
1.21E-05	3.03
1.11E-05	2.87
1.00E-05	2.70
9.04E-06	2.57
8.04E-06	2.48
7.03E-06	2.37
6.03E-06	2.26
5.02E-06	2.19
4.02E-06	2.16
3.01E-06	2.13
2.01E-06	2.09
1.00E-06	2.09
0.00E+00	0.00000
