Depth	Ii_diffuse
2.75E-04	66.19
2.63E-04	68.42
2.62E-04	70.54
2.61E-04	72.53
2.60E-04	74.41
2.58E-04	76.15
2.57E-04	77.94
2.56E-04	79.79
2.54E-04	81.76
2.53E-04	83.52
2.52E-04	84.90
2.51E-04	85.74
2.49E-04	86.51
2.48E-04	86.99
2.47E-04	87.45
2.45E-04	87.80
2.44E-04	88.33
2.43E-04	88.68
2.42E-04	89.23
2.40E-04	89.53
2.39E-04	89.82
2.38E-04	89.84
2.36E-04	89.71
2.35E-04	89.34
2.34E-04	88.80
2.33E-04	88.27
2.31E-04	87.70
2.30E-04	86.98
2.29E-04	86.12
2.27E-04	85.20
2.26E-04	84.03
2.25E-04	82.79
2.24E-04	81.29
2.22E-04	79.67
2.21E-04	78.09
2.20E-04	76.46
2.18E-04	74.78
2.17E-04	72.84
2.16E-04	70.85
2.15E-04	68.64
2.13E-04	66.66
2.12E-04	64.65
2.11E-04	62.54
2.09E-04	60.38
2.08E-04	58.35
2.07E-04	56.38
2.06E-04	54.52
2.04E-04	52.71
2.03E-04	50.84
2.02E-04	49.20
2.00E-04	47.61
1.99E-04	46.14
1.98E-04	44.55
1.97E-04	43.23
1.95E-04	42.04
1.94E-04	40.77
1.93E-04	39.55
1.91E-04	38.35
1.90E-04	37.19
1.89E-04	36.27
1.88E-04	35.25
1.86E-04	34.25
1.85E-04	33.37
1.84E-04	32.66
1.82E-04	31.90
1.81E-04	31.35
1.80E-04	30.73
1.79E-04	30.14
1.77E-04	29.58
1.76E-04	29.10
1.75E-04	28.58
1.73E-04	27.95
1.72E-04	27.47
1.71E-04	27.00
1.70E-04	26.60
1.68E-04	26.22
1.67E-04	25.93
1.66E-04	25.58
1.64E-04	25.09
1.63E-04	24.75
1.62E-04	24.36
1.61E-04	23.98
1.59E-04	23.60
1.58E-04	23.29
1.57E-04	22.88
1.55E-04	22.53
1.54E-04	22.08
1.53E-04	21.69
1.52E-04	21.32
1.50E-04	20.93
1.49E-04	20.48
1.48E-04	20.06
1.46E-04	19.53
1.45E-04	19.15
1.44E-04	18.84
1.43E-04	18.51
1.41E-04	18.20
1.40E-04	17.90
1.39E-04	17.57
1.37E-04	17.31
1.36E-04	16.94
1.35E-04	16.55
1.34E-04	16.17
1.32E-04	15.76
1.31E-04	15.27
1.30E-04	14.87
1.28E-04	14.42
1.27E-04	14.07
1.26E-04	13.75
1.25E-04	13.38
1.23E-04	13.02
1.22E-04	12.68
1.21E-04	12.28
1.19E-04	12.04
1.18E-04	11.71
1.17E-04	11.46
1.16E-04	11.18
1.14E-04	11.02
1.13E-04	10.73
1.12E-04	10.37
1.11E-04	9.89
1.09E-04	9.49
1.08E-04	9.10
1.07E-04	8.83
1.05E-04	8.66
1.04E-04	8.45
1.03E-04	8.12
1.02E-04	7.77
1.00E-04	7.37
9.89E-05	7.08
9.77E-05	6.81
9.64E-05	6.56
9.51E-05	6.22
9.38E-05	5.99
9.25E-05	5.75
9.12E-05	5.45
8.99E-05	5.18
8.87E-05	4.97
8.74E-05	4.73
8.61E-05	4.43
8.48E-05	4.17
8.35E-05	3.93
8.22E-05	3.74
8.10E-05	3.68
7.97E-05	3.59
7.84E-05	3.59
7.71E-05	3.55
7.58E-05	3.52
7.45E-05	3.50
7.32E-05	3.53
7.20E-05	3.44
7.07E-05	3.44
6.94E-05	3.39
6.81E-05	3.36
6.68E-05	3.27
6.55E-05	3.17
6.42E-05	3.00
6.30E-05	2.86
6.17E-05	2.71
6.04E-05	2.64
5.91E-05	2.48
5.78E-05	2.49
5.65E-05	2.51
5.53E-05	2.59
5.40E-05	2.58
5.27E-05	2.68
5.14E-05	2.68
5.01E-05	2.73
4.88E-05	2.86
4.75E-05	2.94
4.63E-05	3.08
4.50E-05	3.17
4.37E-05	3.24
4.24E-05	3.36
4.11E-05	3.46
3.98E-05	3.55
3.85E-05	3.59
3.73E-05	3.67
3.60E-05	3.67
3.47E-05	3.83
3.34E-05	3.89
3.21E-05	3.94
3.08E-05	4.03
2.96E-05	4.06
2.83E-05	4.20
2.70E-05	4.28
2.57E-05	4.36
2.44E-05	4.47
2.31E-05	4.53
2.18E-05	4.60
2.06E-05	4.66
1.93E-05	4.69
1.80E-05	4.77
1.67E-05	4.86
1.54E-05	4.92
1.41E-05	4.93
1.28E-05	4.98
1.16E-05	5.03
1.03E-05	5.09
8.99E-06	5.10
7.71E-06	5.14
6.42E-06	5.15
5.14E-06	5.20
3.85E-06	5.25
2.57E-06	0.00
1.28E-06	0.00
0.00E+00	0.00
