Depth_thin	Ii_direct
2.15E-04	33.83
2.06E-04	37.93
2.05E-04	42.42
2.04E-04	47.11
2.03E-04	51.73
2.02E-04	56.12
2.01E-04	59.98
2.00E-04	63.60
1.99E-04	67.33
1.98E-04	71.01
1.97E-04	74.25
1.96E-04	77.13
1.95E-04	79.70
1.94E-04	81.90
1.93E-04	83.39
1.92E-04	84.19
1.91E-04	84.55
1.90E-04	85.00
1.89E-04	85.49
1.88E-04	85.63
1.87E-04	85.61
1.86E-04	85.18
1.85E-04	84.37
1.84E-04	83.66
1.83E-04	82.82
1.82E-04	82.57
1.81E-04	82.12
1.80E-04	81.27
1.79E-04	80.25
1.78E-04	79.15
1.77E-04	78.26
1.76E-04	77.57
1.75E-04	77.03
1.74E-04	76.75
1.73E-04	76.50
1.72E-04	76.24
1.71E-04	75.83
1.70E-04	75.62
1.69E-04	75.72
1.68E-04	75.90
1.67E-04	75.88
1.66E-04	75.58
1.65E-04	75.13
1.64E-04	74.71
1.63E-04	74.39
1.62E-04	74.22
1.61E-04	74.12
1.60E-04	73.95
1.59E-04	73.89
1.58E-04	73.96
1.57E-04	74.07
1.56E-04	74.24
1.55E-04	74.22
1.54E-04	74.12
1.53E-04	74.08
1.52E-04	74.04
1.51E-04	74.04
1.50E-04	74.04
1.49E-04	73.90
1.48E-04	73.77
1.47E-04	73.56
1.46E-04	73.22
1.45E-04	72.75
1.44E-04	72.33
1.43E-04	71.83
1.42E-04	71.24
1.41E-04	70.66
1.40E-04	70.03
1.39E-04	69.16
1.38E-04	68.24
1.37E-04	67.31
1.36E-04	66.36
1.35E-04	65.53
1.34E-04	65.08
1.33E-04	64.83
1.32E-04	64.54
1.31E-04	64.28
1.30E-04	63.79
1.29E-04	63.10
1.28E-04	62.79
1.27E-04	62.73
1.26E-04	62.63
1.25E-04	62.45
1.24E-04	62.24
1.23E-04	61.97
1.22E-04	61.69
1.21E-04	61.41
1.20E-04	61.17
1.19E-04	61.03
1.18E-04	61.07
1.17E-04	61.21
1.16E-04	61.45
1.15E-04	61.58
1.14E-04	61.74
1.13E-04	61.69
1.12E-04	61.39
1.11E-04	61.03
1.09E-04	60.65
1.08E-04	60.01
1.07E-04	59.29
1.06E-04	58.48
1.05E-04	57.72
1.04E-04	56.80
1.03E-04	55.78
1.02E-04	54.84
1.01E-04	53.90
1.00E-04	52.92
9.95E-05	51.83
9.84E-05	50.99
9.74E-05	50.48
9.64E-05	50.00
9.54E-05	49.44
9.44E-05	48.86
9.34E-05	48.59
9.24E-05	48.27
9.14E-05	47.72
9.04E-05	47.19
8.94E-05	47.03
8.84E-05	46.97
8.74E-05	46.85
8.64E-05	46.45
8.54E-05	46.19
8.44E-05	45.48
8.34E-05	44.33
8.24E-05	43.23
8.14E-05	42.33
8.04E-05	41.50
7.94E-05	40.63
7.84E-05	39.75
7.74E-05	38.92
7.63E-05	37.89
7.53E-05	36.84
7.43E-05	35.66
7.33E-05	34.60
7.23E-05	33.32
7.13E-05	31.70
7.03E-05	30.27
6.93E-05	29.01
6.83E-05	27.84
6.73E-05	26.77
6.63E-05	25.81
6.53E-05	25.09
6.43E-05	24.47
6.33E-05	23.85
6.23E-05	23.22
6.13E-05	22.72
6.03E-05	22.25
5.93E-05	21.80
5.83E-05	21.47
5.73E-05	21.21
5.63E-05	20.94
5.53E-05	20.60
5.42E-05	20.14
5.32E-05	19.58
5.22E-05	18.81
5.12E-05	18.23
5.02E-05	17.73
4.92E-05	17.11
4.82E-05	16.51
4.72E-05	15.88
4.62E-05	15.29
4.52E-05	14.72
4.42E-05	14.06
4.32E-05	13.34
4.22E-05	12.69
4.12E-05	12.11
4.02E-05	11.59
3.92E-05	11.02
3.82E-05	10.63
3.72E-05	10.26
3.62E-05	10.25
3.52E-05	10.32
3.42E-05	10.50
3.32E-05	10.68
3.21E-05	10.98
3.11E-05	11.41
3.01E-05	11.47
2.91E-05	11.32
2.81E-05	10.99
2.71E-05	10.54
2.61E-05	10.12
2.51E-05	9.70
2.41E-05	9.34
2.31E-05	9.06
2.21E-05	8.73
2.11E-05	8.48
2.01E-05	8.32
1.91E-05	8.04
1.81E-05	7.63
1.71E-05	7.06
1.61E-05	6.61
1.51E-05	6.10
1.41E-05	5.51
1.31E-05	4.95
1.21E-05	4.45
1.11E-05	4.06
1.00E-05	3.75
9.04E-06	3.56
8.04E-06	3.49
7.03E-06	3.47
6.03E-06	3.52
5.02E-06	3.55
4.02E-06	3.69
3.01E-06	3.88
2.01E-06	4.08
1.00E-06	4.29
0.00E+00	0
