Depth	Ii_direct
2.75E-04	67.21
2.63E-04	69.79
2.62E-04	72.47
2.61E-04	75.02
2.60E-04	77.48
2.58E-04	79.70
2.57E-04	81.64
2.56E-04	83.33
2.54E-04	84.65
2.53E-04	85.60
2.52E-04	86.23
2.51E-04	86.74
2.49E-04	87.21
2.48E-04	87.58
2.47E-04	87.87
2.45E-04	88.18
2.44E-04	88.45
2.43E-04	88.62
2.42E-04	89.23
2.40E-04	89.99
2.39E-04	90.48
2.38E-04	90.77
2.36E-04	90.88
2.35E-04	90.70
2.34E-04	90.30
2.33E-04	89.65
2.31E-04	88.64
2.30E-04	87.40
2.29E-04	86.01
2.27E-04	84.58
2.26E-04	83.06
2.25E-04	81.52
2.24E-04	80.07
2.22E-04	78.67
2.21E-04	77.26
2.20E-04	75.86
2.18E-04	74.62
2.17E-04	73.35
2.16E-04	71.89
2.15E-04	70.50
2.13E-04	69.22
2.12E-04	67.98
2.11E-04	66.78
2.09E-04	65.58
2.08E-04	64.42
2.07E-04	63.29
2.06E-04	62.09
2.04E-04	60.86
2.03E-04	59.58
2.02E-04	58.31
2.00E-04	57.13
1.99E-04	55.98
1.98E-04	54.75
1.97E-04	53.53
1.95E-04	52.54
1.94E-04	51.54
1.93E-04	50.55
1.91E-04	49.46
1.90E-04	48.46
1.89E-04	47.61
1.88E-04	46.75
1.86E-04	45.94
1.85E-04	45.27
1.84E-04	44.63
1.82E-04	44.08
1.81E-04	43.62
1.80E-04	43.21
1.79E-04	42.82
1.77E-04	42.47
1.76E-04	42.06
1.75E-04	41.59
1.73E-04	41.12
1.72E-04	40.72
1.71E-04	40.40
1.70E-04	40.12
1.68E-04	39.87
1.67E-04	39.63
1.66E-04	39.46
1.64E-04	39.26
1.63E-04	38.97
1.62E-04	38.59
1.61E-04	38.23
1.59E-04	37.95
1.58E-04	37.70
1.57E-04	37.50
1.55E-04	37.16
1.54E-04	36.81
1.53E-04	36.43
1.52E-04	36.01
1.50E-04	35.54
1.49E-04	34.98
1.48E-04	34.39
1.46E-04	33.81
1.45E-04	33.31
1.44E-04	32.81
1.43E-04	32.29
1.41E-04	31.71
1.40E-04	31.13
1.39E-04	30.50
1.37E-04	29.82
1.36E-04	29.18
1.35E-04	28.50
1.34E-04	27.81
1.32E-04	27.20
1.31E-04	26.64
1.30E-04	26.15
1.28E-04	25.68
1.27E-04	25.17
1.26E-04	24.55
1.25E-04	23.89
1.23E-04	23.22
1.22E-04	22.51
1.21E-04	21.77
1.19E-04	21.02
1.18E-04	20.35
1.17E-04	19.77
1.16E-04	19.25
1.14E-04	18.81
1.13E-04	18.43
1.12E-04	18.05
1.11E-04	17.63
1.09E-04	17.17
1.08E-04	16.67
1.07E-04	16.18
1.05E-04	15.73
1.04E-04	15.32
1.03E-04	14.96
1.02E-04	14.66
1.00E-04	14.39
9.89E-05	14.19
9.77E-05	13.98
9.64E-05	13.82
9.51E-05	13.73
9.38E-05	13.62
9.25E-05	13.42
9.12E-05	13.22
8.99E-05	13.03
8.87E-05	12.80
8.74E-05	12.53
8.61E-05	12.29
8.48E-05	12.18
8.35E-05	12.18
8.22E-05	12.18
8.10E-05	12.13
7.97E-05	12.01
7.84E-05	11.87
7.71E-05	11.71
7.58E-05	11.49
7.45E-05	11.28
7.32E-05	11.14
7.20E-05	10.99
7.07E-05	10.84
6.94E-05	10.76
6.81E-05	10.65
6.68E-05	10.44
6.55E-05	10.24
6.42E-05	10.10
6.30E-05	9.99
6.17E-05	9.96
6.04E-05	9.88
5.91E-05	9.76
5.78E-05	9.67
5.65E-05	9.57
5.53E-05	9.41
5.40E-05	9.26
5.27E-05	9.11
5.14E-05	8.99
5.01E-05	8.91
4.88E-05	8.79
4.75E-05	8.63
4.63E-05	8.50
4.50E-05	8.48
4.37E-05	8.51
4.24E-05	8.47
4.11E-05	8.49
3.98E-05	8.58
3.85E-05	8.60
3.73E-05	8.57
3.60E-05	8.52
3.47E-05	8.47
3.34E-05	8.33
3.21E-05	8.14
3.08E-05	7.94
2.96E-05	7.71
2.83E-05	7.50
2.70E-05	7.27
2.57E-05	7.07
2.44E-05	6.89
2.31E-05	6.72
2.18E-05	6.60
2.06E-05	6.49
1.93E-05	6.37
1.80E-05	6.24
1.67E-05	6.10
1.54E-05	5.93
1.41E-05	5.73
1.28E-05	5.49
1.16E-05	5.28
1.03E-05	5.08
8.99E-06	4.91
7.71E-06	4.74
6.42E-06	4.54
5.14E-06	4.35
3.85E-06	4.16
2.57E-06	0.00
1.28E-06	0.00
0.00E+00	0.00
